t,i,fan1_rpm,temp1_c,fan2_rpm,temp2_c,fan3_rpm,temp3_c,gpu0,gpu1,gpu2
2026-09-02T11:44:55.091796+00:00,0,3068,66000,0,30000,0,37000,74,34,34
2026-09-02T11:45:25.117897+00:00,1,3068,67000,0,30000,0,37000,75,34,34
2026-09-02T11:45:55.145891+00:00,2,3054,67000,0,30000,0,37000,75,34,34
2026-09-02T11:46:25.171689+00:00,3,3054,66000,0,30000,0,37000,75,34,34
2026-09-02T11:46:55.196897+00:00,4,3054,66000,0,30000,0,37000,76,34,34
2026-09-02T11:47:25.221939+00:00,5,3054,66000,0,30000,0,37000,76,34,34
2026-09-02T11:47:55.247906+00:00,6,3068,66000,0,30000,0,37000,76,34,34
2026-09-02T11:48:25.272974+00:00,7,3068,65000,0,30000,0,37000,75,34,34
2026-09-02T11:48:55.296237+00:00,8,3068,67000,0,30000,0,37000,75,34,34
2026-09-02T11:49:25.322749+00:00,9,3054,66000,0,30000,0,37000,76,34,34
2026-09-02T11:49:55.348739+00:00,10,3054,59000,0,30000,0,37000,71,34,34
2026-09-02T11:50:25.371118+00:00,11,3082,64000,0,30000,0,37000,69,34,33
2026-09-02T11:50:55.395757+00:00,12,3068,62000,0,30000,0,36000,60,34,34
2026-09-02T11:51:25.419345+00:00,13,3068,61000,0,30000,0,36000,54,34,34
2026-09-02T11:51:55.442616+00:00,14,3068,65000,0,30000,0,36000,49,34,34
2026-09-02T11:52:25.468797+00:00,15,3068,63000,0,30000,0,36000,46,34,33
2026-09-02T11:52:55.492155+00:00,16,3068,63000,0,30000,0,36000,44,34,33
2026-09-02T11:53:25.516045+00:00,17,3068,64000,0,30000,0,36000,52,34,33
2026-09-02T11:53:55.539669+00:00,18,3068,65000,0,30000,0,36000,45,34,33
2026-09-02T11:54:25.563020+00:00,19,3068,63000,0,29000,0,35000,43,34,33
