t,power_w,sm_mhz,temp_c,util_pct,throttle
0.0,46.47,1230,69,0,0x0000000000000000
0.4,46.28,1230,69,0,0x0000000000000000
0.7,46.29,1230,69,0,0x0000000000000000
1.0,46.28,1230,69,0,0x0000000000000000
1.4,46.08,1230,68,0,0x0000000000000000
1.7,45.98,1230,68,0,0x0000000000000000
2.0,45.90,1230,68,0,0x0000000000000000
2.3,45.89,1230,68,0,0x0000000000000000
2.7,45.79,1230,68,0,0x0000000000000000
3.0,45.79,1230,68,0,0x0000000000000000
3.3,45.60,1230,67,0,0x0000000000000000
3.7,45.60,1230,67,0,0x0000000000000000
4.1,45.63,1230,67,0,0x0000000000000000
4.4,53.03,1380,67,99,0x0000000000000000
4.8,52.80,1380,67,39,0x0000000000000000
5.1,198.82,1320,71,90,0x0000000000000000
5.4,201.59,1335,72,96,0x0000000000000004
5.8,199.87,1320,73,95,0x0000000000000004
6.1,193.53,1290,73,94,0x0000000000000000
6.4,197.99,1320,74,96,0x0000000000000004
6.8,202.71,1305,74,96,0x0000000000000004
7.1,199.27,1305,74,95,0x0000000000000004
7.4,202.11,1312,74,96,0x0000000000000004
7.8,199.73,1305,74,95,0x0000000000000000
8.1,201.37,1312,75,95,0x0000000000000004
8.4,194.85,1305,75,96,0x0000000000000000
8.8,201.65,1290,75,96,0x0000000000000004
9.1,206.04,1312,75,97,0x0000000000000004
9.4,196.62,1282,75,96,0x0000000000000000
9.7,195.54,1290,75,97,0x0000000000000000
10.1,199.49,1312,75,96,0x0000000000000000
10.4,195.96,1290,75,97,0x0000000000000000
10.7,203.96,1305,75,97,0x0000000000000000
11.0,193.70,1275,75,97,0x0000000000000000
11.4,198.51,1290,75,96,0x0000000000000000
11.7,202.64,1305,75,96,0x0000000000000004
12.0,197.99,1290,75,96,0x0000000000000004
12.4,206.73,1290,75,96,0x0000000000000000
12.7,202.64,1305,76,97,0x0000000000000004
13.0,198.80,1297,75,96,0x0000000000000000
13.3,197.68,1297,76,96,0x0000000000000000
13.7,191.85,1290,76,96,0x0000000000000000
14.0,195.52,1297,76,97,0x0000000000000004
14.3,183.95,1297,76,96,0x0000000000000000
14.7,197.61,1305,76,97,0x0000000000000004
15.0,50.71,1260,74,97,0x0000000000000000
15.3,49.27,1260,71,0,0x0000000000000000
15.6,48.69,1260,70,0,0x0000000000000000
16.0,48.40,1260,70,0,0x0000000000000000
16.3,48.12,1260,69,0,0x0000000000000000
16.6,47.92,1260,69,0,0x0000000000000000
17.0,47.72,1260,69,0,0x0000000000000000
17.3,47.63,1260,69,0,0x0000000000000000
17.6,47.53,1260,68,0,0x0000000000000000
18.0,47.43,1260,68,0,0x0000000000000000
18.3,47.26,1260,68,0,0x0000000000000000
18.6,47.24,1260,68,0,0x0000000000000000
18.9,47.24,1260,68,0,0x0000000000000000
19.3,190.35,1230,72,100,0x0000000000000000
19.6,209.32,1230,73,100,0x0000000000000004
20.0,220.34,1230,72,100,0x0000000000000000
20.3,162.33,1140,74,100,0x0000000000000004
20.6,200.35,1215,75,100,0x0000000000000004
21.0,210.93,1162,75,100,0x0000000000000004
21.3,175.16,1335,74,93,0x0000000000000000
21.6,199.21,1297,74,90,0x0000000000000000
22.0,199.82,1305,75,97,0x0000000000000000
22.3,195.99,1290,75,97,0x0000000000000000
22.6,197.86,1297,75,97,0x0000000000000000
23.0,186.89,1305,75,96,0x0000000000000004
23.3,185.11,1275,75,97,0x0000000000000000
23.6,178.70,1297,75,89,0x0000000000000000
24.0,200.10,1297,75,96,0x0000000000000000
24.3,197.55,1305,75,96,0x0000000000000000
24.6,197.07,1297,75,96,0x0000000000000000
25.0,200.13,1312,75,97,0x0000000000000004
25.3,195.90,1305,75,96,0x0000000000000000
25.6,196.15,1290,75,97,0x0000000000000000
26.0,197.10,1305,76,97,0x0000000000000004
26.3,197.36,1290,76,97,0x0000000000000000
26.7,197.07,1297,76,96,0x0000000000000000
27.0,200.61,1305,76,96,0x0000000000000004
27.3,198.51,1290,76,97,0x0000000000000004
27.7,197.07,1290,76,97,0x0000000000000004
28.0,199.64,1290,76,97,0x0000000000000000
28.3,203.86,1297,76,96,0x0000000000000004
28.7,206.40,1297,76,97,0x0000000000000004
29.0,199.55,1290,76,97,0x0000000000000000
29.3,198.54,1290,76,97,0x0000000000000004
29.7,199.37,1290,76,97,0x0000000000000004
30.0,197.37,1290,76,97,0x0000000000000000
30.3,199.68,1305,76,97,0x0000000000000004
30.7,200.61,1305,76,97,0x0000000000000004
31.0,190.74,1230,76,97,0x0000000000000020
31.3,182.57,1245,76,96,0x0000000000000020
31.7,48.69,1230,73,17,0x0000000000000000
32.0,47.82,1230,71,0,0x0000000000000000
32.3,46.85,1230,70,0,0x0000000000000000
32.6,47.07,1230,70,0,0x0000000000000000
33.0,46.95,1230,70,0,0x0000000000000000
33.3,46.66,1230,69,0,0x0000000000000000
33.6,46.47,1230,69,0,0x0000000000000000
34.0,46.28,1230,69,0,0x0000000000000000
34.3,46.18,1230,69,0,0x0000000000000000
34.6,46.18,1230,68,0,0x0000000000000000
35.0,45.98,1230,68,0,0x0000000000000000
35.3,46.01,1230,68,0,0x0000000000000000
35.6,162.45,1230,68,0,0x0000000000000000
36.0,203.60,1207,73,100,0x0000000000000004
36.3,212.69,1215,74,100,0x0000000000000000
36.6,219.39,1185,75,90,0x0000000000000004
37.0,207.54,1162,75,100,0x0000000000000004
37.3,187.67,1155,75,100,0x0000000000000000
37.6,188.44,1192,75,100,0x0000000000000004
37.9,74.25,1357,74,94,0x0000000000000000
38.3,209.67,1305,75,93,0x0000000000000000
38.6,195.70,1290,75,97,0x0000000000000000
