t,power_w,sm_mhz,temp_c,util_pct,throttle
0.0,48.78,1230,73,92,0x0000000000000000
0.4,48.21,1230,72,0,0x0000000000000000
0.7,194.65,1305,75,59,0x0000000000000000
1.0,199.95,1290,76,100,0x0000000000000000
1.4,178.88,1350,76,100,0x0000000000000000
1.7,206.40,1380,76,91,0x0000000000000000
2.1,152.26,1380,76,100,0x0000000000000000
2.4,207.47,1380,76,100,0x0000000000000000
2.7,176.69,1275,76,86,0x0000000000000000
3.1,203.37,1282,77,96,0x0000000000000004
3.4,200.38,1245,77,97,0x0000000000000020
3.7,162.92,1140,76,95,0x0000000000000020
4.1,160.15,1147,76,97,0x0000000000000000
4.4,158.53,1132,76,96,0x0000000000000020
4.8,174.21,1140,76,96,0x0000000000000000
5.1,158.24,1087,76,96,0x0000000000000020
5.5,155.73,1087,75,97,0x0000000000000020
5.8,132.24,1080,75,97,0x0000000000000000
6.1,157.34,1087,75,97,0x0000000000000020
6.5,161.40,1087,75,96,0x0000000000000000
6.8,157.31,1087,75,97,0x0000000000000000
7.1,153.46,1095,75,96,0x0000000000000000
7.5,160.62,1087,75,97,0x0000000000000020
7.8,158.63,1072,75,97,0x0000000000000000
8.2,151.54,1110,75,97,0x0000000000000000
8.5,161.54,1087,75,97,0x0000000000000020
8.9,159.87,1102,75,97,0x0000000000000020
9.2,157.37,1095,75,97,0x0000000000000000
9.6,150.24,1080,75,96,0x0000000000000000
9.9,164.29,1087,75,97,0x0000000000000020
10.2,156.37,1087,75,96,0x0000000000000000
10.6,151.80,1087,75,97,0x0000000000000020
10.9,161.02,1087,75,97,0x0000000000000020
11.3,153.03,1065,75,97,0x0000000000000000
11.6,160.91,1102,75,97,0x0000000000000000
11.9,155.79,1087,75,97,0x0000000000000000
12.3,154.28,1087,75,97,0x0000000000000020
12.6,161.69,1087,75,96,0x0000000000000020
13.0,156.11,1087,75,97,0x0000000000000020
13.3,158.55,1065,75,95,0x0000000000000000
13.7,160.77,1102,75,97,0x0000000000000020
14.0,154.60,1087,75,97,0x0000000000000020
14.3,153.57,1080,75,97,0x0000000000000000
14.7,157.10,1087,75,97,0x0000000000000020
15.0,153.59,1102,75,97,0x0000000000000000
15.4,157.27,1087,75,97,0x0000000000000020
15.7,157.74,1087,75,97,0x0000000000000020
16.1,158.20,1087,75,97,0x0000000000000020
16.4,151.49,1087,75,97,0x0000000000000020
16.7,157.04,1087,75,96,0x0000000000000020
17.1,156.95,1095,75,97,0x0000000000000000
17.4,153.21,1087,75,97,0x0000000000000020
